,stream,stream_temp,exp_temp,mass,resp,Exp_Temp_K,log_resp,mass_g,x1,x2,log_mass_resp,lnmass,mass_resp
77,11,5.6,45,9.030707948,0.160634931,318.15,-1.8286209980065236,0.009030707948,3.451101236473122,36.47500270476047,-3.4790940709411546,2.2006307639128413,0.030835333007387892
78,11,5.6,45,10.707241900000001,0.22170571100000003,318.15,-1.5064044026555703,0.010707241900000001,3.451101236473122,36.47500270476047,-3.284594646868537,2.370920325617289,0.03745576482818741
79,11,5.6,45,12.67417193,0.240446192,318.15,-1.425258948356215,0.01267417193,3.451101236473122,36.47500270476047,-3.329933610638678,2.539566216376617,0.035795481427922125
80,11,5.6,45,13.00381459,0.19669692600000002,318.15,-1.6260911815689245,0.01300381459,3.451101236473122,36.47500270476047,-3.5500232398834553,2.5652427444193737,0.02872397210471849
81,11,5.6,45,15.09404812,0.294396915,318.15,-1.2228263711225378,0.01509404812,3.451101236473122,36.47500270476047,-3.258551747532032,2.7143005018793254,0.03844403438775308
82,11,5.6,45,16.53258414,0.226007475,318.15,-1.4871872050355852,0.01653258414,3.451101236473122,36.47500270476047,-3.5911871274779505,2.8053332299231535,0.02756558712593762
83,12,8.1,5,16.85617363,0.041071418,278.15,-3.1924428251913826,0.016856173630000002,-1.794270355079705,41.720374296313295,-5.310980558115337,2.8247169772319394,0.004937083246372027
84,12,8.1,5,25.00002283,0.299418849,278.15,-1.2059118530664257,0.02500002283,-1.794270355079705,41.720374296313295,-3.6200694066172634,3.2188767380677836,0.026780817662169873
85,12,8.1,5,34.01153691,0.076382862,278.15,-2.5719969273447436,0.034011536909999994,-1.794270355079705,41.720374296313295,-5.217021768301396,3.5266997879422033,0.005423457410412088
86,12,8.1,10,17.91810442,0.329734522,283.15,-1.109467427076204,0.017918104419999997,-1.0575517554626592,40.983655696696246,-3.273826143439511,2.885811621817743,0.03786128687423861
87,12,8.1,10,24.01337139,0.33039794,283.15,-1.107457472221579,0.02401337139,-1.0575517554626592,40.983655696696246,-3.4914155845608654,3.178610816452382,0.030457726153102486
88,12,8.1,10,28.37988466,0.0321723,283.15,-3.4366494451050142,0.028379884659999997,-1.0575517554626592,40.983655696696246,-5.945909900800491,3.345680607593969,0.0026165204908114885
89,12,8.1,10,36.06657837,0.39021550200000005,283.15,-0.9410561232378372,0.036066578370000005,-1.0575517554626592,40.983655696696246,-3.6300810954301146,3.5853666295897035,0.02651403415470361
90,12,8.1,10,39.18120177,1.26939464,283.15,0.23854012541401065,0.03918120177,-1.0575517554626592,40.983655696696246,-2.512607688406084,3.6681970850934595,0.0810565930692079
91,12,8.1,10,45.05488789,0.365917751,283.15,-1.0053466948787182,0.045054887890000006,-1.0575517554626592,40.983655696696246,-3.861257802922581,3.8078814773918173,0.021041516790189257
92,12,8.1,15,14.08277959,0.169159796,288.15,-1.776911472337432,0.014082779589999999,-0.34640034653161195,40.2725042877652,-3.760626031319035,2.6449527453088044,0.023269168585872094
93,12,8.1,15,33.70974549,0.495013482,288.15,-0.7031702804207134,0.033709745490000005,-0.34640034653161195,40.2725042877652,-3.3415105148449387,3.5177869792323007,0.03538347007801055
